,text,anger,disgust,fear,joy,sadness,surprise
55,ቦረና ከአምና ጀምሮ ያለማቋረጥ ተከስቶ የቆየው ድርቅ ዛሬ እንደሰበር ዜና ሁሉም እየተቀባበለው ነው ዛሬ ስናያቸው የነበሩ ፎቶዎች ሁሉ የት ተደብቀው ቆይተው ድንገት እንደእንጉዳይ,1,0,0,0,1,0
59,ልጆችን ለሚዲያ መሸቀጫ ማዋል የሰው አይን እንዲገቡ ፀፀቱ እንዲጎዳን ያደርጋል ያሳዝናል ነገሩ ከዚህ ልንማር ይገባል ነፍስ ይማር,0,0,0,0,1,0
62,ስሙኝማ ውዶቸ አንድ ፍቅረኛ ነበረኝ እና በጣም ብዙ ጊዜ ይሰድበኛል እንጨቃጨቃለን ከዛም ይቅርታ ይጠይቀኛል እና እኔም ስለምወደው ይቅርታ አደርግለታለሁ አንድ ቀን ግን አስመሳይ ነሽ አለኝ እመብርሀንን እያሰመሰልኩ አልነበረም እንዲያውም እንድንጋባ ጠይቆኝ ነበር እና እሽ ብየው ነበር ግን ስልክም መደወል ቀነሰ ግን ሁሌም እንደሚወደኝ ይነግረኛል ሲስተሮቹ ጋርም አስተዋውቆኛል እና ምን ይሻለኛል እባካችሁ ንገሩኝ ላስቸግሬችሁ እና ለላይክ ብየም,0,0,0,0,1,0
63,በጣም ያሳዝናል የኔ እናት አይዞሽ 💔😭😭😭,0,0,0,0,1,0
78,አቦ ይሄ ሕዝብ ቀልብ ሳይገዛ መኖር ምን እንደሁ ሳናውቀው ጀንበር ልትጠልቅብን ነው ያሳዝናል? ምድረ ምቀኛና ዘረኛ ሕዝብ ደሞ ሀይማኖት ያለን ይመስል ፍጅት,0,1,0,0,1,0
81,በጀርባ የሚወጉ አጭበርባሪ እናተ የህዝብ ተወካይ ተባዬች የሚያደርጉትን ግፍ እያወቃችሁ ዝምታን መረጣችሁ  ህዝብ ወክሏችሁ እና ተናገሩልኝ ብሎ እናተ ግን ዝም አላችሁ ሆዳችሁ አምላክ ሆነ ታማኝነታችሁ ለማን እንደሆነ ታይቷል ዎጋ ትከፍላላችሁ,1,0,0,0,1,0
93,ሀማስ በመጀመሪያ ያደረሰው በደል እልቂት በኑፁሀን ሰወች ላይ እስራኤል የደረሰው እግፍ እና ሰቆቃ በደቡብ አፍሪካ ውስጥ ቢሆን እሷም ትብስ ነበር ታዲያ ምን ይሆናል በሰው ቁስል ላይ የሆነ ነገር ብታስገባበት ለአንተ አያምህም በደቡብ አፍሪካ የሆነውም እንደ ዚያ ማለት ነው,0,1,0,0,1,0
103,እንደው ምን ኣይነት ጭካኔ ነው እየተካሄደ ያለው? ያማል። የሰው ልጅ በሰላም የመኖር መብቱ ተነፈገ። የት ሂዶ ይኑር? ፈጣሪ ሆይ ምህረት ኣውርድልን።,0,0,0,0,1,0
112,ይህን ቃል 27 አመት ወያኔዎች አቀንቅነውታል ዛሬም ተባብሶ መቀጠሉ ያማል አገራችን ታሳዝናለች,0,0,0,0,1,0
114,የራሷ ዜጎች ብሔራዊ ግዳጅ ስለሄድ ነው ስራ እኮ ነው የተባልከው ሌላ አይደለም አይ ethiopian መሀይም ሁነን ቀረን,1,0,0,0,1,0
122,እና ጋዜጠኛዉ አልተደበደም ለማለት ነዉ? እና ሀቁ ይድበስበስ አንተ የማትደግፈዉ ሰዉ ስለተናገረ? ወይ ጉድ የሚገርም ግዜ ዉስጥ ነዉ ያለነዉ።,1,0,0,0,1,1
124,ፍርሃት ጭንቀት ምጥ ያሲያዛቸው የኦሮሞ ብልጽግናዎች የሚይዙትን የሚጨብጡትን ያጡት፣ መሪ አልባውን አማራ ማለቂያ ባጣው ጭፍጨፋ ንብረት ማውደም ማፈናቀል ማጎሳቆልና ማንገላታት ስለአላረ,1,1,0,0,1,0
125,አንተ ፋራ ፅንፈኛ አትሁንእስራኤል ብትነድ ሰዉ ምንም የማያዉቅ ህፃናት ነዉ የሚቃጠለሁበዚሂ ደስ ካለህ ጂኒ ነዉ ፈጣሪ አይዐደዉምቀደም ሲል ፓሊስቲያን ሲኀድ ንፁሀን ነዉ የተቃጠለዉ ያሳዝናል የእስራኤል አረመኔነትን ያሳያልጦርነት እንዳይሰፋ ዱአ ማድረግ ፈጣሪ ይብቃ እንዲል,1,1,0,0,1,0
127,እውነት ምን እንደምል አላውቅም ቀጥታ ስርጭቱን ሳይ እንባ ነው የተናነቀኝ,0,0,0,0,1,0
129,ኡፍፍ ጅሀን አሰልቀሰቀኝ ጌታን  ፍቅር ግን ሁሌም ተቃራኒ ነው,0,0,0,0,1,0
134,የድህረአሰቃቂ ጭንቀት ችግርን ለማስወገድ በትግራይ ውስጥ ጾታዊ ጥቃት የደረሰባቸውን ሴቶች በውይይት ቴራፒ ክፍለ ጊዜዎች መደገፍ አለብን።,0,0,0,0,1,0
135,ጃርማሮ አሁን ከመንግስት ጋር ካልታረቀ የሚቀጥለው መንግስት እረቅ ብሎ እንደማይጠይቅ እሄን ጠንቅቀው ይወቁ ዶክተር አብይን ከስልጣን አውርዳቹ ጃዊሳን ቤተመንግስት ለማሰገባት ነው ኦሮሞ ኦሮሞን የምታስገደል በጣም ያሳዝናል የነጃርማሮ ነገር እሄ የመጨረሻቹ እርቅ ነው አስቡበት,0,1,0,0,1,0
136,በቀልኮ መጨረሻዉ አያምርም እየተጎዱ መኖር በአዱኒያ ቢጎዳም በአኼራ ጥሩ ነዉ,0,0,0,0,1,0
138,ሀገር በእርስ በርስ ጦርነት ላይ ወድቃ ህዝብ ተፈናቅሎና ተርቦ ኑሮ ውድነቱ ከአቅም በላይ ሆኖ ስራ አጥነት ተስፋፍቶ ኢኮኖሚው አፈር በልቶ ዲፕሎማሲያችን ውርደት ላይ ወድቆ ሀገራችን በውጭው አለም መሳቄያ ሆና ፖርኮች ቤተመንግስት የሚገነባ የጦር መሳሬያ በሌለን ገንዘብ የሚሸምት ወረዳ ብልግና የተባለ የወንበዴ ስብስብና ወፈፌ መሪው አብይ አህመድ ሀገራችንን መጫወቻ ሲያረጎት እያየ የሚያጨበጭብ ሆዳም ወይም መሀይም ተለጣፊዎች ማየትያሳዝናል ትላ,1,1,0,0,1,0
155,በስመ አብ ወወወልድ ወመንፈስ ቅዱስ ምን አይነት እትናት በጣም ኩፉ ባለጌ እናት ናት ልጄ ፈጣሪ ይርዳሽ ። እንደዚ በጣም የሚሰቀጥጥጥ ታሪክ ሰምቼ አላውቅም ለምንድነው ሰው እስከዚ ኩፉሆነን ፈጣሪ ይማረን ሃጥያችን በዛ ።,0,0,0,0,1,0
158,እኔ እግዚአብሔር ን የምለምነው ስለ ህጻናት የሚቆረቆር አገር ቢኖረን አለምነዋለሁእንጃ ህግ ኮ የለም,0,0,0,0,1,0
162,ጋዛ፡ “የት እንድንሄድ ነው የሚፈልጉት? እንዲህ ሆነን የት እንሂድላቸው?”,0,0,0,0,1,0
164,ኢትዮጵያን በሰላም ማስተዳደር በተሳነው ብልጽግና እና በአክራሪዎች ከሞቀ ኑሯችሁ ተፈናቅላችሁ በየጥሻው በየጎዳናው በየመጠለያው ለወደቃችሁ ወገኖቼ እንዲሁም በየቤታችን ላለን መልካም የ,0,1,0,0,1,0
165,ፈጣረያስማማማቸው ጦርነት ማለት ከባዲ አስከፌነው አዛውንቶችሴቶች ህፃናቶች ስንት አመት ኢኮነሚወድመት ወዘተረፈ,0,0,0,0,1,0
168,በጣም እጅጉን ያሳፍራል ለካን በእሾክ በተሞላ ጭቃ ውስጥ ነበር ስንዳክር የነበርነው። ከውርደትም ውርደት ።,1,1,0,0,1,0
169,በመሬ ደረጃ ተሰይማችሁ እዲህ መውረድ በስም አብ ወወወልድ ወመንፍስ ቅዱስ ይግርማል ያሳዝናል,0,0,0,0,1,0
179,የኢንሹራንስ ተቋማት ወደ ህዝቡ ወርደው ለምን አያስተምሩም  በጣም ያሳዝናል እኛ የምናውቀው የመኪና እና የንብረት ኢንሹራንስ ብቻ እኮ ነው ገና ብዙ ማደግ ይቀረናል  ለውይይቱ አረትስ ቲቪ እመሰግናለሁ,0,0,0,1,1,0
188,ጥቁር ለብሶ እያላዘነ ሀዘን የተከናነበዉ ማን ነዉ?,0,0,0,0,1,0
196,የክርስቲያን ደሴት እየተባለ በሀገራችን ኢትዮጵያ በክርስቲያኖች ላይ ስደትና ግድያ እየተበራከተ ነው በጣም ያሳዝናል,0,0,0,0,1,0
197,እጅግ ያሳዝናል ስንት ሌባ ባለ ስልጣን ሀገሪቷን ግጦ ጨርሶ እንደ ልቡ ይንፈላሰሳል እምነቱ ሃይማኖቱን ባለ እጁ በካቴና ታስሮ ወኒህ ?መንግስት ተብዬው በዚህ ዘመን ሽብር ከሚሰብኩ,1,0,0,0,1,0
199,በኬንያ የዓለም መጨረሻ ነው በሚል በረሃብ የሞቱ ሰዎች ቁጥር ከ400 በላይ ሆነ,0,0,0,0,1,0
210,የአባቶቻችንና የእናቶቻችን እንባ መልስ ያመጣል!,0,0,0,0,1,0
216,አይዞሽ ኤሄንንን አስታሳሴብ ይዜሺ ፈጣሪም አይጢልሺም እትዮጲያ ህዚብ ያግዚሻል ያሁሉ በደል ተበዲሌሺ አሁንም ለእናትሺ ያሎዉ ፊቅሪ ጌሪሞኛል,0,0,0,0,1,1
218,በኢትዮጵያ በተለይ ባለፉት 2 ዓመታት የነበረው ጦርነት እና እዚህም እዚያም የሚያጋጥሙ ግጭቶች ሀገሪቱን ብዙ ዋጋ አስከፍሏታል፡፡ የውጭ ቀጥተኛ ኢንቨስትመንት ደግሞ አንደኛው ተጎጂ ዘርፍ ነው፡፡ 22,0,0,0,0,1,0
219,እግዚኦ የእናት ጭካኔ እንድህም ኣለ 😭😭😭,0,0,0,0,1,0
221,አይ አብይ ፈጣሪ ነፍስህን በቁም ያሳየን ስቃይህን የስንቱ እንባ ከቱ ሆኖ አይቀርም ለወድማችን ነፍሱን ይማርልን ለቤተሰቦቹም ፅናቱን ይስጥልን በጣም ካባድ ነው,0,1,0,0,1,0
228,ሰለ ሁሉም ነገር ህያው አምላክ እግዚአብሔር ይመስገን አንድ እውነት ላረጋግጥላቹ ውድ ኢትዮጵያዊያን ለሃገሬ ሰዎች በብልፅግና ስርአት ከዚ የከፋ ለኑሮ ውድነት ለሁሉም ነገር ከፈጣሪጋ እራሳችሁን አዘጋጁ,0,0,0,0,1,0
250,የመግለጫ ጋጋታ በጣም ያሳዝናል ምነው ለጊዜው እንኳን ነገሮች በፍርድ ቤት እስኪጣሩ ድረስ የክልል ሀይል በቄሳውስት ላይ የሚያደርሱትን ግድያ እስር ቢያስቆም ምንድነው የኦሮሞ ክልልን,0,0,0,0,1,0
251,ለዚህ ተራ ሰው በእውነት እንኳን ደስ አለሽ ኢትዮጵያ ይባላል ? በጣም ያሳዝናል የዚህን እምነት ነቢያት ከጊዜ ወደ ጊዜ የሚሉት ነገር እንኳን ለሰው ቀርቶ ለሰይጣንም ይከብዳል እያየነው አሳፋሪ የሆነ የሰዎች መጫዎቻ ሆነ ገና ብዙ እና ያለን,0,1,0,0,1,0
254,ውይ እግዚኦ መሀረነ እግዚኦኦኦ መሀረነ😭😭😭 አረ እናት አልነበረችም አረመኔ የኔ እናት ጠላትሽ ይሰቃይ አፈር ልብላ አረ አምላኬ ምን አይነት ዘመን ደረስን አረ ድረሱላት 😭😭😭,0,0,0,0,1,0
256,ከ2020 ጀምሮ የሚሰማው ዜና ራስ እሚያዞር ለመስማት እሚዘገንን ድንገት ሞት ጦርነት ኮሮና ድህነት መፈናቀል ጭካኔ አንዳንድ ጊዜ ሳስበው የአለም መጨረሻ እየመሰለኝ ነው,1,0,0,0,1,0
263,በመግደል የሚያምን ፓለቲከኛ ጠቡ ከ እግዚሐብሄር ጋር ስለሆነ የትም አይደርሱም !የኢትዩጵያ ህዝብ አስብ ግን አትጨነቅ ! የበላይ የመሆኛው መንገድ ፍቅር ይ,1,0,0,0,1,0
264,ምን ማለት ነው የለመደ የከተማ ሽፍታ ማለት እኛ የሰማነው በደርግ ግዜ ከተማ ውስጥ ሰው መገደሉን ነው አሁን ልክ እንደተለመደ ሆኖ አርእስት ሲሆን ያሳዝናል ህግ ቢኖር ኖሮ ይሄ ሁሉ አይሄንም ትንሽ ቆይቶ ይሄ ወንድማችን ቁጥር ብቻ ይሆናል,1,0,0,0,1,0
268,የንጽሐን ሞት ያሳዝናል ድል ለፋኖ 😂😁,0,0,0,0,1,0
274,ልጁ በጣም ያሳዝናል ለቤተሰቡ የጌታ ሰላም መጽናናት ልባችሁን ይሙላዉ ብልዲግ ሲፈርስ ለምንድን ነው ልጅ መጋዘን ዉስጥ የገባዉ መጋዘኑ የሚፈርስ ከሆነ ቀድሞ አልተነገረም ወይ በደብ ግልጽ የሆነ መግለጫ ያስፈልጋል ሌላዉ ህብረተሰብ ወደፊት እንዲጠነቀቅ እናተ ጋዜጠኞች ነገሮችን በደንብ አጣርታቹህ ብታቀርቡ ለኛም ትምህርት ይሰጠናል ለመብትም ለፍርድም እንዲሆን ችግሩም የቱ ጋር እንዳለ እንድንረዳአ,0,0,0,0,1,0
275,ያረብ አላህ ነስሩን ያቅርበው በየሀገሩ ያለውን ጦርነት በቃ ይበለን ውድ ወገኖቸ ሰብሥክራይብ እያደረጋችሁ አበረታቱኝ,0,0,0,0,1,0
276,ከዚህ በሗላ አብይ እንደ ጀግና የሚታወሰው አቃተኝ ብሎ በግላጭ ስልጣኑን ለህዝብ ሲያስረክብ ብቻ ነው። ይህ የምታዩት በየቦታው እየተከሰተ ያለ ስቃይ ነው። በዚህ አምስት በንጹሃን ላይ የሚደርስ ስቃይ,1,0,0,0,1,0
282,ከመቶ ሺዎች ወጣቶች መስዋአትነት በላይ የሚያሳዝነው አንደ ጌታቸው አይንት ለዚህ ሁላ መከራ የሆነ ሰው ወደ ስልጣን መመለስ ነው።ነገ ነገሮች የተደላደሉ ሲመ,1,0,0,0,1,0
285,አማራ ትግራይ ገብቶ ሲጨፈጭፍ ታዝሎ ገብቶ ያሁላ መከራ ሳይደርስ ኣንድም የአማራ ኤሊት ኣይሆንምኣላኣለ ይሄ ዛሬ ለማንም የማይጠቅም እልቂት እዲቆም እንፀልያኣለን,0,1,0,0,1,0
288,በጣም የሚገርም ነው ቪዲዮውን አየሁት የምር ኮንደም ተወደደደ የሚሉት የእውነት ነው በየክሊኒክ በየበሩ ነው ተደርድሮ የሚቀመጠው አይ ግዜ,0,0,0,0,1,1
289,እናመሰግናለን አባ በቃ ለዚህች ከንቱ ዓለም ሙገሳ እና ገንዘብ ብለን ያሳደገችንን ቅድስት ተዋህዶ ቤተክርስቲያንን ማፈራረስ እና ማዋከብ ያሳፍራል እግዚአብሔር ቢዘገይም ፍርዱን ይሰጣል,0,0,0,0,1,0
291,እረ አቤቤቤት እረ ምን ጉድ ነው የሚስማው እረ የምድሪቱዋ እሀደግ የመረዘው ቆሻሻሻ ይጠፋል ስንል ጭራሽ በዚህ መንግስት ይባስ እረ እግዚአብሔር ይሄ ሁሉ ሀጥያት እየተደረገ መቼ ነው ስምተህን የሚስኪኑን ፍርድ የምትፈርደው እረ ኡኡኡ የሚያስብለው ጆሮዋችን የንፁሀንንን ጭኃት እየስማ አይናችን የሚስኪኖችን ግፍ በማየት አገሽገሽን ጭራሽ ከድጡ ወደማጡ እንግባ እረ እግዚአብሔር ተለመነን ቢያንስ እንደነዚህ ላሉት ህፃናት,0,0,0,0,1,0
292,?ስለሀገርህ ህዝብ መከራ ረሃብና ጥማት ከቀዬው ተፈናቅሎ ችግር ላይ መውደቁን መናገር መንግስትን ለመገልበጥ ማሴር መንግስትን ማሳጣት ከሆነ ታዲያ ምኑን ነው ሀገር የምንለው ማ,1,0,0,0,1,0
293,ለዐማራ ህዝብ ቆስላችኋል። ደምታችኋል። ያላለፋችሁት ፈተና አልነበረም። ዛሬም ድንገት ትጥቅ ፍቱ ስትባሉ እንዳመማችሁ ሁሉ እኔንም አሞኛል። ከአንተ ውስጥ ያለው ስሜት እኔንም ውስጥ,0,0,0,0,1,0
306,እግዚአብሔር ያፅናናችሁየተከሰተው ነገር በጣም ልብ ሰባሪ ክስተት ነው የሰው ልጅ ክቡር ነው ግን ለምን ጥንቃቄና ሀላፊነት በጎደለ ተግባር የሰው ልጅ ይሞታል  አፍራሽና የዕለቱ ስራ አሰሪዎች መጠየቅ አለባቸው ፍትህ ለጌትነት,0,0,0,0,1,0
308,ይህን እየተመለከትን እንኳን አንመለስም እግዜአብሄር ድንገት ሲመጣ ጨርቄን ማቄን ልጄን እናቴን አባቴን ሚስቴን ባሌን የለም እንኳንስ ዘሬን ክልሌ,0,0,0,0,1,0
311,እግዚአብሔር ማረፊያ መደምደሚያ ያሳምርልሽ እግዚአብሔር ጠበቃ ይሁንልሽ በጣም ያማል እፍፍፍ ተስፋ በአምላክሽ ይሁን,0,0,0,0,1,0
314,አይ ሞት ይሻላል የዚህም ህግ ለማስከበረ ተብሎ ለጥያቄ ይቀርባል አቤቱ ጌታ ሆይ በቸርነትህ አስበን እነደ ስሙንም ሲጠራ እነዴት እንደ ሚዘገንን በእውነት ቃለህይወት ያሰማልን,1,0,0,0,1,0
321,እግዚኦ መሀረነ ክርስቶስ ካህን በዚህ ደረጃ የቀን ስራ ማየት እጂግ ያሳዝናል አይዞዎት እግዚአብሔር ጊዜ አለው ማህበር ቅድሳን ክብር ይገባችሆል የተገፍትን ማየት ቁጥራቸውን አስቀምጡ,0,0,0,0,1,0
336,በጣም ያሳዝናል መጠንቀቅ ነበረበት ክፉኛ የጦስ ዶሮ ሆነ,0,0,0,0,1,0
344,ህፃናትና እናቶችን የመግደል ፍቅር ደም የጠማቸው ነፍስ በላዎች የሚንፈለሰሱበት ሀገር,1,0,0,0,1,0
345,ሰበር አሳዛኝ ዜና ዛሬ በአዲስ አበባ ለቡ ባቡር ጣቢያ አካባቢ የኦህዴድኦነግ ፖሊሶች ቤታችን አይፈርስም ያሉ 5 የአዲስ አበባ ኗሪ አማሮችን በጥይት ደብድበው መግደላቸው ታውቋል ለዘብተኛ አማራ ከሆን ገና እጠፋለን,1,0,0,0,1,0
349,🙊🙊🙊 ወይኔ ኡኡኡፉፉፉ አንጀቴን በላችኝ ያማል በጣም ያማል,0,0,0,0,1,0
350,በሆነ ግዜ የመን ሒጄ ነበር ግን ያየሁት ነገር ሆዴ በላው የመን ታኢዝ የሚባል ወደብ ጫፍ ላይ 3 ትላልቅ የሚያምሮሩ መረከብ ተጥለዋል ጠጋብየ ሰው ስጠይቅ በ1983 በግዜው በነበረው ጦርነት ከአሰብና ምጽዋ ሸሽተው የመጡ ኢትዮጵያ ባህር ሐይለ ነው,0,0,0,0,1,0
353,ኧረ ተው የዚች ልጅ እንባ ግፍ እንዳይሆንብህ🤔🤔🤔,0,0,1,0,1,0
381,ክብር ከንታባ አዳነች ስራዎትን ሳላደንቅ አላልፍም ነገር ግን የኔ ወንድሞች ዜጋ እንደመሁናቸዉ መጠን በቀበሌ ቤት ጥገኛ ነበሩ አፍርሰዉ በምትኩ ሌላ ቤት ሳይ,0,0,0,1,1,0
387,የገደለ መግደል ነው የምን መንግስት ነው መንግስት የት አለ ህዝብ በጠራራ ፀሀይ ህዝብ እየሞተ መንግሰት የሚባል የምን መጠበቅ ነው ወንድሜ ነፍስን ይማረው በጣም ልብ ይሰበራል ወይ ገና ስንት የምታይ የማንም መንጋ ቀጠፍህ ወይኔ,1,0,0,0,1,0
388,እናቶች የሚጸልዩለት ቃል ቦምቡ እኔን ይብላኝ ግን መሪዬ ዳነወይ ብሎ የጠየቀው ቦምቡን የቀለበውና አካለ ስንኩል ሆኖ የቀረው ወጣት ያመነው ቃል ሕዝባችን ያመነው ቃል የዋህነትንና ቅንነትን የተላበሰ ቃል ነው ወይስ እጅግ አደገኛ አዘናጊና አታላይ ቃል ይሆን,1,0,0,0,1,0
401,እፍፍይች አለም ላንዱ ስቃይ አዚዜ ና ጀብዴት የአላህ ሰላም በአለም ላይ የሰው ዘር በሙሉ ኢትዮጵያዬን ሰላምም እንዴት ያስፈራል,0,0,1,0,1,0
408,የኩዚ እናት ምን አይነት ክፉ ነች ሲሆን ለ kuzi ማዘን ሲገባት ምን አርግ ነው ምትለው,1,0,0,0,1,0
410,ጋዜጠኛ ኦሀድን በከፍተኛ ትኩረትና ፍላጎት አዳምጠዋለሁ ይበልጥ እንድታዳምጠው የሚገፋ ብቃት ያለው ሰው ነው  ምክናያቱም በጣም የበሰለ አዋቂና ሚዛናዊ ሰው በመሆኑ ነው እንዲህ አይነት ብሩህ ጭንቅላት ያላቸው ሰዎች መድረክ ያለማግኘታቸው ያሳዝናል,0,0,0,0,1,0
413,እዉነት ነው በሁላችንም ህመም አለ የቤታችን ጉድሁኖብን አፍነን እንኖራል በቤተሠብ መበደል አያጋጥም ነው በዛላይ ከፍቶን ሥንተነፍሥ ባለጌ ነው ሥማችን ያማልግን,0,0,0,0,1,0
417,ሃይሌ ገሪማ ፕሮፌስር በአንድ ወቅት በወያኔ ዘመን ፖለቲካን አልወድም ብለው ከተናገሩ በኆላ የሳቸው ነገር በቃኝመማር ከንቱ ያኔ ም አሁንም አማራው የመከራ ገፈት እየተሽከመ ነው,0,0,0,0,1,0
420,በኢትዮጵያ በድርቅ የተጎዱ ‘4 ሚሊዮን ዜጎች አስቸኳይ የምግብ እርዳታ ያስፈልጋቸዋል’,0,0,0,0,1,0
423,እንደ ሀገር ያለንበት ሁኔታ እጅግ ያስፈራል ኦርቶዶክስ ቤተክርድቲያን ላይ ያለው ደባ የባሶች ግዢ ሌብነት ሙስናው የረሀብ ጉዳይ የኑሮ ውድነት እግዚአብሔር መልካም ያድርግልን,0,0,1,0,1,0
430,በሱዳን ዳርፉር ግዛት በተከሰተ ግጭት 96 ሰዎች መገደላቸው ተገለጸ ሱዳናዊት ሴት በወለደች ቅጽበት ግጭትን ለመሸሽ ወደ ቻድ ተሰዳለች ተብሏል። Sudan Darfur,0,0,0,0,1,0
436,እኔ ምንም ቃል የለኝም ኪዳነ ምህረት መከራሽን ታቅልልልሽ እህቴ አይዞሽ የኔ ምስኪን ይሄ ሁሉ ግፍ በአንድ ትንሽዬ ሴት ልጅ ላይ ምን አይነት ጊዜ ላይ ደረስን ይሄን የልብ ስብራት የሚጠግንልሽ ምን ይሆን 😭😭😭,0,0,0,0,1,0
437,ኡመር ግን አበዛው ለምድነው ሊበቀላት የፈለገው የምር ደስ አይልም እሷም ላባትዋ ስትል ነው እዚህ ማጥ ውስጥ የገባይውምን አለ ባይበቀላት ጉሉሩየ,0,0,0,0,1,0
446,ከግብር ሌላ በወር ክፈሉ እየተባለ ሰው እየታሰረ ነው በተለይ ሱማሌ ያልሆኑት ለይ አደገኛ እንግልት እየደረሰባቸው ነው,0,0,0,0,1,0
448,የእስራኤል ገደብ የለሽ የሰብአዊ መብት ጥሰት ሳትዘግቡ ግፍ በዝቶበት አንድ ድንጋይ የወረወረን ፍልስጤምን ግፍ አለመዘገብ እና የእስራኤል ደጋፊ መሆን ከአንድ ሚድያ አይጠበቅም። በነገራችን ላይ የሀማስ ጥቃትን ደግፌ አይደለም ማንም ቢሆን በግፍ እንዲገደል አልፈልግም,1,0,0,0,1,0
449,ወይኔ ወይኔ ያማል በጣም ምን አይነት አውሬ ሰው አለ,0,0,0,0,1,0
455,አባቶቻችን አለባብሳችሁ እያረሳችሁ በአረም ትመለሳላችሁ እስኪ ስለሚሳደዱት ስለሚፈናቀሉት ስለሚያለቅሱት ምእመናንም ይሰማችሁ እና እነዚህን ዘረኛ ዱርዬዎችም አብራችሁ አውግዙልን,1,0,0,0,1,0
464,ድሮ ህወሃት ይመስለኝ ነበር ዘረኛ እና ሰይጣን ግን አሁን ላይ የአብይን አገዛዝ ስመለከት ከመለስ ጋር የሰማይ እና የምድር ልዩነት አላቸው አረ መለስ ይማረኝ ባይሆን አንድን ዘር ባተኮረ አልጨፈጨፈም 😪,0,1,0,0,1,0
467,አቤቱ የሆነብንን አስብ አምላከ እስራኤል ይፍረድ  አብይ ተዋህዶን ና ቤተክርስቲያን የማጥፋት ዘመቻ ቀጥሎበታል ፍርድን ከእግዚአብሔር ይቀበላል ይሄ አረመኔ መድኃኔዓለም ከምድረ ገፅ ያጥፋው,1,1,0,0,1,0
468,ሲጀመር ሰውዬው ህግን አክብሮ እየሰራ አይደለም ሰዎቹም ስራቸውን ነው የሰሩት ግን እኔ የሰውዬውን ልክ አለመሆኑን አውቆ ትቶ ሲሄድ ያ ሁኔታው ያሳዝናል በተረፈ ስራቸውን ነው የሰሩት,0,0,0,0,1,0
